title,link,published,summary
Redmagic 11 Pro is the first phone with liquid cooling,https://www.theverge.com/news/801581/redmagic-11-pro-china-launch-liquid-cooling-8000mah-battery,2025-10-17T09:18:08-04:00,"Redmagic’s latest gaming phone has arrived in China with a neat trick up its sleeve: liquid cooling. It’s an active liquid cooling system, as opposed to the passive vapor chamber systems that have become pretty common in high-end Android phones over the last few years, with a ceramic micro-pump to push liquid through the phone. [&#8230;]"
AI can’t even turn on the lights,https://www.theverge.com/podcast/801532/ai-smart-home-apple-m5-vergecast,2025-10-17T08:56:16-04:00,"Large language models are currently everyone's solution to everything. The technology's versatility is part of its appeal: the use cases for generative AI seem both huge and endless. But then you use the stuff, and not enough of it works very well. And you wonder what we're really accomplishing here. On this episode of The [&#8230;]"
Meta is adding more parental controls for teen AI use,https://www.theverge.com/news/801505/meta-ai-chatbot-parental-controls-instagram,2025-10-17T06:00:00-04:00,"After enthusiastically rolling AI chatbots out everywhere, Meta has announced new options for parents to get an idea of how teens are chatting with the digital characters and set some limits on use. The move comes as Meta works to rehabilitate its image after disturbing reports of its tools’ romantic interactions with minors and faces [&#8230;]"
"Anthropic connects Claude to Microsoft Teams, Outlook, and OneDrive",https://www.theverge.com/news/801487/anthropic-claude-microsoft-365-connector-ai,2025-10-17T04:53:02-04:00,"Anthropic is integrating its Claude AI assistant with Microsoft 365 services so it can surface content from Word documents, Teams messages, and Outlook emails in conversations with the chatbot. It’s part of a series of updates to Claude to make the chatbot more useful at work. Claude will now connect with Microsoft SharePoint and OneDrive [&#8230;]"
AT&#038;T is raising home internet prices for the second year in a row,https://www.theverge.com/news/801423/att-fiber-home-internet-december-2025-price-raise-hike,2025-10-17T02:01:20-04:00,"Everything seems to be getting back-to-back price hikes right now, why not your home internet bill too? AT&#38;T is raising prices by $5 a month on all AT&#38;T Internet plans, the company confirms to The Verge. That’s on top of its $5-a-month increase from November 2024, and, it appears, a $5-a-month increase on some customers [&#8230;]"
Why world models are the next big thing in AI,https://www.theverge.com/column/801370/ai-world-models-general-intuition-medal,2025-10-16T21:30:00-04:00,"This is an excerpt of Sources by Alex Heath, a newsletter about AI and the tech industry, syndicated just for The Verge subscribers once a week. Around the middle of last year, Pim de Witte started reaching out to a handful of prominent AI labs to see if they'd be interested in using data from [&#8230;]"
"MacBook Pro rumor points to OLED, touchscreen upgrades next year",https://www.theverge.com/news/801363/apple-macbook-pro-2026-rumor-oled-touchscreen,2025-10-16T20:46:04-04:00,"Apple just announced 14-inch MacBook Pro updates that add a new generation M5 processor, faster storage, and a promise of 24-hour battery life, but Bloomberg’s Mark Gurman now reports next year’s refresh will be more thorough. For several years, Gurman has said that, according to his sources, the next major MacBook Pro revamp would add [&#8230;]"
Amazon shares a ‘first look’ at new nuclear facility,https://www.theverge.com/news/801257/amazon-nuclear-energy-reactor-first-look,2025-10-16T18:35:54-04:00,"Amazon shared some new details about its plans to help deploy more nuclear energy across Washington State, where the company is headquartered. About a year ago, Amazon announced an agreement with Energy Northwest, a consortium of public utilities in Washington, to support the development of up to 12 advanced reactors by the early 2030s. Once [&#8230;]"
The best laptop deals you can get right now,https://www.theverge.com/good-deals/23161948/apple-macbook-lenovo-acer-deal-sale,2025-10-16T18:30:00-04:00,"If you want a great laptop, you’re going to have to fork over a ton of money, right? Not necessarily. There are dozens of good laptops on the market at various price points. However, it can feel overwhelming to find the right one for your needs (some are better suited for, say, college students, whereas [&#8230;]"
I just reviewed the Xbox Ally and answered your burning questions,https://www.theverge.com/games/800212/i-just-reviewed-the-xbox-ally-ask-me-anything,2025-10-16T17:44:00-04:00,"Hey! I'm Sean Hollister, and I've been The Verge's unofficial handheld gaming PC reviewer since 2022, when the Steam Deck and kin took over my life. (I also helped launch this website back in the day!) I also just spent the past week reviewing the Xbox Ally and Xbox Ally X, Microsoft's very first ""Xbox"" [&#8230;]"
