title,link,published,summary
"tivo won the court battles, but lost the tv war",https://www.theverge.com/tech/802254/tivo-time-warp-patent-courtoom-battles-lost-tv-war,2025-10-18 12:00:00-04:00,"In the 2000s, TiVo reached heights few companies ever achieve. Like Google and Xerox, its name became a verb. People had to ""TiVo"" the new episode of Battlestar Galactica or game 4 of the Red Sox vs. Cardinals, not ""record"" it. While it didn't invent the DVR, TiVo popularized it and many of the features [&#8230;]"
motorola’s razr ultra and the marshall emberton ii top this week’s best deals,https://www.theverge.com/tech/801962/motorola-razr-ultra-2025-foldable-marshall-emberton-ii-speaker-deal-sale,2025-10-18 11:44:48-04:00,"If you’ve been thinking about buying a foldable phone that truly stands out, few models can rival the 2025 Motorola Razr Ultra, which is currently on sale at Amazon and Best Buy with 16GB of RAM and 512GB starting at $999.99 ($300 off), its lowest price to date. If you can’t tell from the image [&#8230;]"
8bitdo’s new collection celebrates the nes’s 40th anniversary,https://www.theverge.com/news/801832/8bitdo-nintendo-nes-ultimate-2-controller-retro-keyboard-bluetooth-cube-speaker,2025-10-18 11:00:00-04:00,"Forty years ago today, the Nintendo Entertainment System launched in North America, and to help celebrate the anniversary, 8BitDo has announced a new NES40 collection. It features updated versions of three of 8BitDo’s existing products, including its Ultimate 2 wireless controller, Retro 87 Keyboard N Edition, and Retro Cube Speaker. The updates made to the [&#8230;]"
"pokémon legends: z-a makes a big, welcome change for shiny hunters",https://www.theverge.com/games/802089/pokemon-legends-z-a-shiny-hunting,2025-10-18 10:00:00-04:00,"Pok&#233;mon Legends: Z-A hadn't been out even a few hours before the tweets started rolling in: Shiny pok&#233;mon don't despawn. You can walk away from a shiny, and it'll still be there when you come back. To shiny collectors, this is big news. In other Pok&#233;mon games, like Scarlet and Violet, pok&#233;mon despawn after you [&#8230;]"
"easy delivery co. is a cozy, lynchian dream",https://www.theverge.com/games/800733/easy-delivery-co-review-steam,2025-10-18 09:00:00-04:00,"I have been a fan of David Lynch ever since a friend's older brother interrupted a 13th birthday celebration to insist we all watch Eraserhead. In the realm of horror movies, it's a common way to be introduced to a seminal film: be it in a friend's basement, illicit underage viewings, or a stray recommendation [&#8230;]"
the future i saw through the meta ray-ban display amazes and terrifies me,https://www.theverge.com/tech/801684/meta-ray-ban-display-review-smart-glasses-ai-wearables,2025-10-18 08:00:00-04:00,"Outside a florist-cum-coffee shop in upstate New York, a row of vintage cars gleam in the sun. It's unseasonably warm for early October, so there's a veritable crowd of car enthusiasts snapping photos of Ferraris, Porsches, and a vintage Alfa Romeo. Patient girlfriends and wives roll their eyes, sipping on maple matcha lattes and eating [&#8230;]"
the lab where gm is cooking up new ev batteries to beat china,https://www.theverge.com/transportation/801780/gm-ev-battery-lab-lmr-range-cost,2025-10-18 07:00:00-04:00,"Inside General Motors' fast-growing battery labs in suburban Detroit, scientists and engineers are analyzing stresses on lithium-ion cells: desert heat, arctic cold, jungle humidity, enough charging and discharging for a half-dozen Frankenstein reboots. For The Verge's exclusive tour of these secretive labs, I watch researchers peer at cell chemistries down to the atomistic level, using [&#8230;]"
facebook’s new button lets its ai look at photos you haven&#8217;t uploaded yet,https://www.theverge.com/ai-artificial-intelligence/802102/meta-facebook-opt-in-ai-edits-photos-camera-roll,2025-10-17 20:15:30-04:00,"Meta has rolled out an opt-in AI feature to its US and Canadian Facebook users that claims to make their photos and videos more &#8220;shareworthy.&#8221; The only catch is that the feature is designed for your phone’s camera roll — not the media you’ve already uploaded to Facebook. If you opt in, Meta’s AI will [&#8230;]"
the best budget smartphone you can buy,https://www.theverge.com/21420196/best-budget-smartphone-cheap,2025-10-17 20:01:49-04:00,"Some of us take a kind of “I eat to live” rather than an “I live to eat” approach to gadgets. They’re tools that help you get things done, not something you want to invest a lot of time or money in. If that’s you — and there’s no judgment here from a certifiable gadget [&#8230;]"
"the us has a new roadmap for fusion energy, without the funds to back it up",https://www.theverge.com/news/802070/nuclear-fusion-energy-ai-trump-roadmap,2025-10-17 18:21:39-04:00,"The Department of Energy (DOE) released a new roadmap for the US to realize the decades-long dream of harnessing fusion energy. It’s a commitment to support research and development efforts and pursue public-private partnerships to finally build the first generation of fusion power plants. And of course, the plan hypes up AI as both a [&#8230;]"
